Rk,Player,SB,From,To,Age,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,Pos,Team,Player-additional
2700,Hoot Evers,0,1941,1941,20-20,1,4,4,0,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,1,0,0,,0,/9,DET,eversho01
2701,Johnny Evers,0,1922,1929,40-47,2,5,3,0,0,0,0,0,0,1,0,0,2,0,.000,.400,.000,.400,12,0,,0,0,,0,/4,BSNCHW,eversjo01
2702,Wilmer Euell,0,1925,1926,29-30,32,108,94,5,20,16,3,0,1,8,0,,9,,.213,.282,.277,.558,50,26,,0,5,,,2,ABC,euellwi01
2703,Columbus Ewing,0,1931,1931,28-28,3,10,9,0,3,3,0,0,0,0,0,,0,,.333,.400,.333,.733,106,3,,1,0,,,/97,LOW,ewingco01
2704,Reuben Ewing,0,1921,1921,21-21,3,1,1,0,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,,0,0,,,/H6,STL,ewingre01
2705,Julián Fabelo,0,1923,1923,33-33,9,31,27,3,7,6,1,0,0,1,0,,3,,.259,.333,.296,.630,78,8,,0,1,,,/5914,CSE,fabelju01
2706,Face,0,1924,1924,,1,4,4,1,2,2,0,0,0,1,0,,0,,.500,.500,.500,1.000,184,2,,,0,,,/5,HBG,face02
2707,Tony Faeth,0,1920,1920,26-26,13,6,5,1,0,0,0,0,0,0,0,0,1,1,.000,.167,.000,.167,-54,0,,0,0,,,1,CLE,faethto01
2708,Faison,0,1932,1932,,1,1,1,0,1,1,0,0,0,0,0,,0,,1.000,1.000,1.000,2.000,527,1,,0,0,,,/6,LRG,faiso01
2709,Ed Fallenstein,0,1931,1933,22-24,35,15,13,2,4,3,1,0,0,3,0,0,1,6,.308,.357,.385,.742,108,5,0,0,1,,0,1/H,BSNPHI,falleed01
2710,George Fallon,0,1937,1937,22-22,4,9,8,0,2,1,1,0,0,0,0,0,1,0,.250,.333,.375,.708,91,3,2,0,0,,0,/4,BRO,falloge01
2711,Jim Faulkner,0,1927,1930,27-30,43,46,41,4,10,9,1,0,0,2,0,0,3,9,.244,.295,.268,.564,48,11,,0,2,,0,1,BRONYG,faulkji01
2712,Fazio,0,1941,1941,,1,1,0,0,0,0,0,0,0,0,0,,1,,,1.000,,,,0,,,0,,,/1,HG,fazio02
2713,Dutch Fehring,0,1934,1934,22-22,1,1,1,0,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,,0,0,,0,/2,CHW,fehridu01
2714,Eddie Feinberg,0,1938,1939,20-21,16,42,38,2,7,6,1,0,0,0,0,2,2,1,.184,.225,.211,.436,21,8,0,0,2,,0,/6H497,PHI,feinbed01
2715,Harry Feldman,0,1941,1941,21-21,3,8,6,1,1,1,0,0,0,0,0,0,1,2,.167,.286,.167,.452,28,1,0,0,1,,0,/1,NYG,feldmha01
2716,Bob Feller,0,1936,1941,17-22,205,581,503,41,86,60,15,8,3,53,0,1,44,183,.171,.240,.250,.491,28,126,5,2,32,,0,1,CLE,fellebo01
2717,Horace Fenner,0,1921,1921,23-23,2,2,2,0,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,,0,0,,,/1,CHW,fenneho01
2718,Alex Ferguson,0,1921,1929,24-32,256,454,396,13,42,38,4,0,0,22,0,1,15,149,.106,.141,.116,.257,-32,46,,1,39,,0,1,BOSBRONYYPHIWSH,fergual01
2719,Pablo Fernández,0,1923,1923,22-22,8,15,14,1,2,2,0,0,0,0,0,,0,,.143,.143,.143,.286,-25,2,,0,1,,,/1,CSW,fernapa01
2720,Rodolfo Fernández,0,1935,1941,24-30,10,10,9,0,0,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,1,,,/19,NYC,fernaro01
2721,Ed Fernandes,0,1940,1940,22-22,28,41,33,1,4,3,1,0,0,2,0,0,7,6,.121,.275,.152,.427,21,5,0,0,0,,0,2/H,PIT,fernaed01
2722,Bernard Fernández,0,1938,1939,20-21,3,4,4,0,0,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,0,,,/1,BCACBR,fernabe01
2723,Bill Ferrazzi,0,1935,1935,28-28,3,2,1,0,0,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,39,0,,0,0,,0,/1,PHA,ferrabi01
2724,Willie Ferrell,0,1937,1941,23-27,36,84,78,8,21,18,2,1,0,5,0,,2,,.269,.288,.321,.608,70,25,,0,4,,,1/97,BBBCAGCBRHGJRC,ferrewi02
2725,Tom Ferrick,0,1941,1941,26-26,36,46,44,6,9,5,4,0,0,3,0,0,2,11,.205,.239,.295,.535,43,13,0,0,0,,0,1,PHA,ferrito01
2726,Lou Fette,0,1937,1940,30-33,105,253,234,10,44,39,3,2,0,15,0,0,5,29,.188,.205,.218,.423,20,51,11,0,14,,0,1/H,BROBSN,fettelo01
2727,Clarence Fieber,0,1932,1932,18-18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,/1,CHW,fiebecl01
2728,James Field,0,1921,1921,30-30,12,22,21,1,3,3,0,0,0,2,0,,1,,.143,.182,.143,.325,-8,3,,0,0,,,1,SLG,fieldja01
2729,Benny Fields,0,1938,1941,,4,14,10,2,2,1,1,0,0,0,0,,4,,.200,.429,.300,.729,113,3,,0,0,,,/54,BCANBY,fieldbe01
2730,Buddy Fields,0,1924,1926,,18,33,31,7,12,7,5,0,0,5,0,,0,,.387,.387,.548,.935,151,17,,0,2,,,1/9,CBNCELDM,fieldbu01
2731,Wilmer Fields,0,1940,1941,17-18,5,15,15,2,3,2,1,0,0,2,0,,0,,.200,.200,.267,.467,34,4,,,0,,,/18,HGSNS,fieldwi01
2732,Fields,0,1930,1930,,4,12,11,0,2,2,0,0,0,1,0,,1,,.182,.250,.182,.432,19,2,,0,0,,,/49,LVBMRS,field05
2733,Fields,0,1932,1932,,2,5,4,1,2,2,0,0,0,0,0,,1,,.500,.600,.500,1.100,205,2,,0,0,,,/1,CLS,field06
2734,John Fifer,0,1921,1921,,7,16,14,1,4,3,1,0,0,2,0,,0,,.286,.286,.357,.643,81,5,,0,2,,,/1,ABC,fiferjo01
2735,José Figueroa,0,1940,1940,26-26,11,21,20,1,4,4,0,0,0,1,0,,0,,.200,.200,.200,.400,6,4,,,1,,,/1,NYC,figuejo01
2736,Larry File,0,1940,1940,18-18,7,13,13,0,1,1,0,0,0,1,0,0,0,2,.077,.077,.077,.154,-57,1,1,0,0,,0,/65H,PHI,filesa01
2737,Mark Filley,0,1934,1934,22-22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,/1,WSH,fillema01
2738,Dana Fillingim,0,1920,1925,26-31,149,275,249,16,50,46,2,0,2,20,0,1,20,32,.201,.266,.233,.499,39,58,,2,4,,,1/H,BSNPHI,fillida01
2739,Finch,0,1933,1933,,1,1,1,0,0,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,0,,,/9,NEG,finch02
2740,Herman Fink,0,1935,1937,23-25,67,96,93,1,14,13,1,0,0,5,0,0,2,25,.151,.177,.161,.338,-14,15,,1,0,,0,1,PHA,finkhe01
2741,Carl Fischer,0,1930,1937,24-31,191,297,262,13,38,33,5,0,0,10,0,0,12,60,.145,.182,.164,.347,-9,43,,0,23,,0,1,CHWCLEDETSLBWSH,fischca01
2742,Rube Fischer,0,1941,1941,24-24,2,3,3,1,1,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,87,1,0,0,0,,0,/1,NYG,fischru01
2743,Clarence Fisher,0,1920,1920,21-21,2,1,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,,/1,WSH,fishecl01
2744,George Fisher,0,1933,1933,,1,2,2,0,0,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,0,,,/9,ID,fishege02
2745,Bill Fitch,0,1926,1926,,4,5,4,1,2,2,0,0,0,1,0,,0,,.500,.500,.500,1.000,174,2,,0,1,,,/1,NLG,fitchbi01
2746,Charlie Fitzberger,0,1928,1928,24-24,7,7,7,0,2,2,0,0,0,0,0,0,0,3,.286,.286,.286,.571,54,2,,0,0,,0,/H,BSN,fitzbch01
2747,Ray Fitzgerald,0,1931,1931,26-26,1,1,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,0,/H,CIN,fitzgra01
2748,Paul Fitzke,0,1924,1924,23-23,1,1,1,0,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,,0,0,,,/1,CLE,fitzkpa01
2749,Freddie Fitzsimmons,0,1925,1941,23-39,503,1246,1139,112,229,173,35,7,14,103,0,1,35,173,.201,.233,.281,.514,36,320,15,13,57,,0,1,BRONYG,fitzsfr01
2750,Ray Flaskamper,0,1927,1927,25-25,26,103,95,12,21,16,5,0,0,6,0,0,3,8,.221,.260,.274,.534,40,26,,2,3,,,6/H,CHW,flaskro01
2751,Joe Fleet,0,1930,1930,,1,1,1,0,0,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,0,,,/1,CAG,fleetjo01
2752,Bill Fleming,0,1940,1941,26-27,26,26,22,2,2,1,1,0,0,1,0,0,2,4,.091,.167,.136,.303,-21,3,0,0,2,,0,1,BOS,flemibi01
2753,Les Fleming,0,1939,1941,23-25,10,24,24,0,2,1,1,0,0,3,0,0,0,4,.083,.083,.125,.208,-47,3,1,0,0,,0,/H397,CLEDET,flemile01
2754,Mort Flohr,0,1934,1934,22-22,15,12,12,1,4,4,0,0,0,0,0,0,0,3,.333,.333,.333,.667,75,4,,0,0,,0,1/H,PHA,flohrmo01
2755,Johnny Flowers,0,1941,1941,,10,28,28,3,13,9,4,0,0,4,0,,0,,.464,.464,.607,1.071,212,17,,,0,,,/957,NBY,flowejo01
2756,Wes Flowers,0,1940,1940,26-26,5,5,5,0,1,1,0,0,0,0,0,1,0,0,.200,.200,.200,.400,8,1,0,0,0,,0,/1,BRO,flowewe01
2757,Stu Flythe,0,1936,1936,24-24,17,16,15,4,4,4,0,0,0,0,0,0,1,6,.267,.313,.267,.579,46,4,,0,0,,0,1,PHA,flythst01
2758,Ray Foley,0,1928,1928,22-22,2,2,1,1,0,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,41,0,,0,0,,0,/H,NYG,foleyra01
2759,Jake Foote,0,1929,1929,,1,3,2,0,0,0,0,0,0,0,0,,1,,.000,.333,.000,.333,-6,0,,0,0,,,/2,DS,footeja01
2760,Gene Ford,0,1936,1938,24-26,5,6,6,0,1,1,0,0,0,0,0,0,0,2,.167,.167,.167,.333,-17,1,0,0,0,,0,/1,BSNCHW,fordge02
2761,William Ford,0,1936,1936,20-20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,/1,BSN,fordbi01
2762,Zack Foreman,0,1920,1921,26-27,22,52,44,3,8,7,0,1,0,2,0,,2,,.182,.217,.227,.445,27,10,,0,6,,,1/49,KCM,foremza01
2763,Happy Foreman,0,1924,1926,26-28,8,4,4,0,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,,0,0,,,/1H,BOSCHW,foremha01
2764,Percy Forest,0,1938,1939,21-22,4,9,8,0,2,2,0,0,0,2,0,,1,,.250,.333,.250,.583,70,2,,0,0,,,/1,CAG,forrepe01
2765,Gary Fortune,0,1920,1920,25-25,14,13,12,0,2,2,0,0,0,1,0,0,1,5,.167,.231,.167,.397,8,2,,0,0,,,1,BOS,fortuga01
2766,George Foss,0,1921,1921,24-24,4,7,7,0,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,,0,0,,,/H5,WSH,fossge01
2767,Leland Foster,0,1932,1932,21-21,2,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,0,,0,0,,,/1,MRM,fostele02
2768,Jesse Fowler,0,1924,1924,25-25,13,10,9,1,2,2,0,0,0,0,0,0,1,2,.222,.300,.222,.522,43,2,,0,0,,,1,STL,fowleje01
2769,Dick Fowler,0,1941,1941,20-20,4,9,9,0,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,,0,/1,PHA,fowledi01
2770,Otis Francis,0,1920,1920,29-29,2,5,4,1,2,2,0,0,0,0,0,,1,,.500,.600,.500,1.100,228,2,,0,0,,,/4,ABC,francot01
2771,Ray Francis,0,1922,1925,29-32,86,117,107,7,17,15,2,0,0,4,0,0,7,24,.159,.211,.178,.388,3,19,,0,3,,,1/H,BOSDETNYYWSH,francra01
2772,Moe Franklin,0,1941,1941,27-27,13,12,10,1,3,2,1,0,0,0,0,0,2,2,.300,.417,.400,.817,109,4,1,0,0,,0,/H65,DET,frankmo01
2773,Vic Frazier,0,1931,1939,26-34,126,212,186,17,33,30,3,0,0,16,0,0,13,42,.177,.231,.194,.425,14,36,0,0,12,,0,1,BSNCHWDET,frasivi01
2774,Flash Frazier,0,1932,1932,,3,12,10,0,1,1,0,0,0,1,0,,2,,.100,.250,.100,.350,12,1,,0,0,,,/6,BCA,frazifl01
2775,Buck Freeman,0,1921,1922,24-25,49,66,61,4,12,10,2,0,0,2,0,0,3,29,.197,.246,.230,.476,26,14,,1,1,,,1,CHC,freembu02
2776,Harvey Freeman,0,1921,1921,23-23,18,13,12,1,1,1,0,0,0,0,0,0,0,6,.083,.083,.083,.167,-57,1,,0,1,,,1,PHA,freemha01
2777,John Freeman,0,1927,1927,26-26,4,2,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,,/87H,BOS,freemjo01
2778,Bill Freeman,0,1925,1925,,2,2,2,1,1,1,0,0,0,0,0,,0,,.500,.500,.500,1.000,170,1,,,0,,,/1,ABC,freembi01
2779,Jake Freeze,0,1925,1925,25-25,2,1,1,0,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,,0,0,,,/1,CHW,freezja01
2780,Vern Freiburger,0,1941,1941,17-17,2,8,8,0,1,1,0,0,0,1,0,0,0,2,.125,.125,.125,.250,-32,1,1,0,0,,0,/3,CLE,freibve01
2781,Tony Freitas,0,1932,1936,24-28,108,201,165,10,24,20,3,1,0,9,0,0,21,58,.145,.242,.176,.418,13,29,0,0,15,,0,1/H,CINPHA,freitto01
2782,Grier Friday,0,1923,1923,25-25,7,10,9,1,2,2,0,0,0,0,0,0,0,1,.222,.300,.222,.522,42,2,,1,0,,,/1,WSH,fridask01
2783,Cy Fried,0,1920,1920,22-22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,,/1,DET,friedcy01
2784,Bob Friedrichs,0,1932,1932,25-25,2,1,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,0,/1,WSH,friedbo01
2785,Buck Frierson,0,1941,1941,23-23,5,12,11,2,3,2,1,0,0,2,0,0,1,1,.273,.333,.364,.697,88,4,0,0,0,,0,/H97,CLE,frierbu01
2786,Fred Frink,0,1934,1934,22-22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,/8H,PHI,frinkfr01
2787,Johnson Fry,0,1923,1923,21-21,1,2,1,0,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,427,1,,1,0,,,/1,CLE,fryjo01
2788,Charlie Frye,0,1940,1940,26-26,18,19,19,1,5,4,0,0,1,2,0,0,0,6,.263,.263,.421,.684,90,8,1,0,0,,0,1/H,PHI,fryech01
2789,Oscar Fuhr,0,1921,1925,27-31,63,47,43,4,9,8,1,0,0,6,0,0,1,4,.209,.244,.233,.477,23,10,,1,1,,,1,BOSCHC,fuhros01
2790,Ollie Fuhrman,0,1922,1922,25-25,6,7,6,1,2,1,1,0,0,0,0,0,0,0,.333,.333,.500,.833,113,3,,0,0,,,/H2,PHA,fuhrmol01
2791,Dot Fulghum,0,1921,1921,20-20,2,3,2,0,0,0,0,0,0,0,0,0,1,1,.000,.333,.000,.333,-9,0,,0,0,,,/H6,PHA,fulghdo01
2792,Jimmy Fuller,0,1927,1927,34-34,4,6,6,0,1,1,0,0,0,0,0,,0,,.167,.167,.167,.333,-13,1,,0,0,,,/2,NLG,fulleji02
2793,Curt Fullerton,0,1921,1933,22-34,115,129,110,9,20,17,2,1,0,6,0,0,15,26,.182,.280,.218,.498,31,24,,0,4,,0,1,BOS,fullecu01
2794,Fred Fussell,0,1922,1929,26-33,80,106,100,11,15,11,2,0,2,3,0,0,4,26,.150,.190,.230,.420,7,23,,1,1,,0,1,CHCPIT,fussefr01
2795,Gabe,0,1925,1925,,1,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,0,,,0,,,/1,NLG,gabe01
2796,Frank Gabler,0,1935,1938,23-26,113,118,107,4,21,15,5,1,0,13,0,0,5,28,.196,.232,.262,.494,32,28,5,0,6,,0,1,BSNCHWNYG,gablefr01
2797,Len Gabrielson,0,1939,1939,23-23,5,20,18,3,4,4,0,0,0,1,0,0,2,3,.222,.300,.222,.522,46,4,0,0,0,,0,/3H,PHI,gabrile01
2798,John Gaddy,0,1938,1938,24-24,2,7,6,0,0,0,0,0,0,0,0,0,1,4,.000,.143,.000,.143,-58,0,0,0,0,,0,/1,BRO,gaddyjo01
2799,Gus Gadsden,0,1932,1932,,7,24,20,1,2,2,0,0,0,1,0,,4,,.100,.250,.100,.350,-2,2,,0,0,,,/72,HIL,gadsdgu01
2800,Chick Gagnon,0,1922,1924,24-26,14,9,9,3,2,2,0,0,0,1,0,0,0,2,.222,.222,.222,.444,17,2,,0,0,,,H/65,DETWSH,gagnoch01
2801,Del Gainer,0,1922,1922,35-35,43,116,97,19,26,13,7,4,2,23,0,2,14,6,.268,.360,.485,.845,121,47,,0,5,,,3H/78,STL,gainede01
2802,Nemo Gaines,0,1921,1921,23-23,4,1,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,,/1,WSH,gainene01
2803,Jonas Gaines,0,1937,1941,22-26,27,61,54,5,5,4,1,0,0,1,0,,5,,.093,.169,.111,.281,-22,6,,0,2,,,1/9,BEGNEWEG,gainejo02
2804,Denny Galehouse,0,1934,1941,22-29,199,354,316,14,49,44,5,0,0,11,0,0,18,91,.155,.203,.171,.374,-4,54,9,1,19,,0,1,BOSCLESLB,galehde01
2805,Gil Gallagher,0,1922,1922,25-25,7,23,22,1,1,0,1,0,0,2,0,0,1,7,.045,.087,.091,.178,-53,2,,0,0,,,/6H,BSN,gallagi01
2806,Ed Gallagher,0,1932,1932,21-21,9,5,5,0,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,,0,0,,0,/1,BOS,gallaed01
2807,Jackie Gallagher,0,1923,1923,21-21,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,427,1,,0,0,,,/9,CLE,gallaja01
2808,Bert Gallia,0,1920,1920,28-28,21,26,24,1,4,4,0,0,0,3,0,0,1,6,.167,.200,.167,.367,4,4,,0,1,,,1/H,PHISLB,gallibe01
2809,Phil Gallivan,0,1931,1934,24-27,54,56,51,5,12,9,3,0,0,2,0,0,1,10,.235,.264,.294,.558,44,15,,1,3,,0,1,BROCHW,galliph01
2810,Cándido Gálvez,0,1929,1932,28-31,19,40,35,4,8,5,2,1,0,3,0,,4,,.229,.308,.343,.651,72,12,,0,1,,,1,CSWCUP,galveca01
2811,Jim Galvin,0,1930,1930,22-22,2,2,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,0,/H,BOS,galviji01
2812,William Gamble,0,1921,1921,,1,3,3,0,0,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,0,,,/1,COB,gamblwi01
2813,Domingo Gámiz,0,1925,1925,31-31,4,7,6,1,1,1,0,0,0,0,0,,0,,.167,.167,.167,.333,-13,1,,,1,,,/14,CSE,gamizdo01
2814,Márgaro Gámiz,0,1926,1929,21-24,110,370,331,29,72,59,12,0,1,25,0,,18,,.218,.268,.263,.531,40,87,,5,16,,,2/9,BBSCSEHBGPTG,gamizma01
2815,Babe Ganzel,0,1927,1928,26-27,23,86,74,9,23,15,5,2,1,17,0,0,8,7,.311,.378,.473,.851,122,35,,0,4,,0,8/7H9,WSH,ganzeba01
2816,Bob Garbark,0,1934,1939,24-29,59,113,105,8,23,22,1,0,0,9,0,0,7,7,.219,.268,.229,.496,33,24,6,0,1,,0,2/H3,CHCCLE,garbabo01
2817,Art Gardiner,0,1923,1923,23-23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,,/1,PHI,gardiar01
2818,Gardner,0,1923,1923,,2,3,3,0,0,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,0,,,/18,TT,gardn03
2819,Gardner,0,1932,1932,,1,3,3,0,0,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,0,,,/4,MRS,gardn04
2820,Garey,0,1925,1925,,1,5,5,2,3,0,0,3,0,3,0,,0,,.600,.600,1.800,2.400,520,9,,,0,,,/2,CSW,garey01
2821,Lou Garland,0,1931,1931,25-25,7,3,3,0,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,,0,0,,0,/1,CHW,garlalo01
2822,Tom Garrett,0,1930,1930,,1,5,5,2,2,1,0,0,1,1,0,,0,,.400,.400,1.000,1.400,267,5,,0,0,,,/8,BBB,garreto01
2823,Cliff Garrison,0,1928,1928,21-21,6,3,3,0,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,,0,0,,0,/1,BOS,garricl01
2824,Hank Garrity,0,1931,1931,23-23,8,15,14,0,3,2,1,0,0,2,0,0,1,2,.214,.267,.286,.552,49,4,,0,0,,0,/2H,CHW,garriha01
2825,Garvin,0,1938,1938,,1,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,0,,0,0,,,/1,PS,garvi02
2826,Robert Gaston,0,1932,1941,22-31,97,310,275,26,63,47,12,1,3,41,0,,28,,.229,.307,.313,.620,71,86,,3,4,,,2/79,HG,gastoro01
2827,Bill Gatewood,0,1920,1927,38-45,137,231,192,33,52,37,8,2,5,32,0,,27,,.271,.364,.411,.775,117,79,,1,11,,,1/59,BBBDSMBMRSSLSTT,gatewbi01
2828,Sid Gautreaux,0,1936,1937,24-25,86,92,81,8,20,16,4,0,0,18,0,0,10,8,.247,.337,.296,.633,71,24,1,1,0,,2,H2,BRO,gautrsi01
2829,Gavin,0,1935,1935,,1,1,0,0,0,0,0,0,0,0,0,,0,,,,,,,0,,0,1,,,/1,BE,gavin01
2830,George Gaw,0,1920,1920,28-28,6,4,4,1,1,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,43,1,,0,0,,,/1,CHC,gawch01
2831,Herbert Gay,0,1929,1930,20-21,13,17,14,0,1,1,0,0,0,2,0,,2,,.071,.188,.071,.259,-29,1,,0,1,,,1,BBBCAG,gayhe01
2832,Willie Gay,0,1929,1929,20-20,1,4,4,0,1,1,0,0,0,0,0,,0,,.250,.250,.250,.500,31,1,,0,0,,,/9,CAG,gaywi01
2833,Dinty Gearin,0,1923,1924,25-26,17,17,16,2,5,5,0,0,0,1,0,0,0,1,.313,.313,.313,.625,68,5,,0,0,,,1/H,BSNNYG,gearidi01
2834,Bob Geary,0,1921,1921,30-30,10,8,8,0,2,2,0,0,0,1,0,0,0,1,.250,.250,.250,.500,36,2,,0,0,,,1,CIN,gearybo01
2835,Elmer Gedeon,0,1939,1939,22-22,5,17,15,1,3,3,0,0,0,1,0,0,2,5,.200,.294,.200,.494,33,3,0,0,0,,0,/89,WSH,gedeoel01
2836,Johnny Gee,0,1939,1941,23-25,6,10,9,1,1,1,0,0,0,0,0,0,1,4,.111,.200,.111,.311,-13,1,0,0,0,,0,/1,PIT,geejo01
2837,Paul Gehrman,0,1937,1937,25-25,2,3,3,0,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,,0,/1,CIN,gehrmpa01
2838,Charles George,0,1935,1941,22-28,67,173,161,7,29,23,5,1,0,13,0,0,11,30,.180,.233,.224,.456,20,36,2,0,1,,0,2H,BROCHCCLE,georggr01
2839,Oscar Georgy,0,1938,1938,21-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,/1,NYG,georgos01
2840,Johnny Gerlach,0,1938,1939,21-22,12,32,27,2,9,9,0,0,0,1,0,0,4,2,.333,.419,.333,.753,89,9,0,0,1,,0,/6H5,CHW,gerlajo01
2841,Chappie Geygan,0,1924,1926,21-23,40,114,103,7,26,19,5,2,0,4,0,2,5,19,.252,.300,.340,.640,66,35,,2,4,,,6/H5,BOS,geygach01
2842,Joe Giard,0,1925,1927,26-28,68,101,89,6,13,13,0,0,0,8,0,0,5,32,.146,.191,.146,.338,-14,13,,0,6,,,1,NYYSLB,giardjo01
2843,John Gibbons,0,1941,1941,19-19,5,11,11,1,2,1,1,0,0,1,0,,0,,.182,.182,.273,.455,32,3,,,0,,,/1,NBYPS,gibbojo03
2844,Ted Gibson,0,1941,1941,,7,16,14,1,4,4,0,0,0,0,0,,0,,.286,.286,.286,.571,79,4,,,2,,,/51,CAG,gibsote01
2845,Sam Gibson,0,1926,1932,26-32,132,211,202,17,50,41,9,0,0,14,0,0,3,14,.248,.259,.292,.551,43,59,,0,6,,0,1/H,DETNYGNYY,gibsosa01
2846,Paul Gibson,0,1935,1935,,1,1,0,0,0,0,0,0,0,0,0,,1,,,1.000,,,,0,,0,0,,,/1,ND,gibsopa02
2847,Charlie Gibson,0,1924,1924,24-24,12,17,15,1,2,2,0,0,0,1,0,0,2,0,.133,.235,.133,.369,-4,2,,0,0,,,2,PHA,gibsoch02
2848,Gibson,0,1925,1925,18-18,1,3,3,0,0,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,,0,,,/2,CAG,gibso03
2849,George Gick,0,1937,1938,21-22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,/1,CHW,gickge01
2850,Floyd Giebell,0,1939,1941,29-31,28,17,14,0,2,2,0,0,0,0,0,0,0,1,.143,.143,.143,.286,-28,2,0,0,3,,0,1,DET,giebefl01
2851,Giles,0,1928,1928,,2,3,3,0,0,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,0,,,/9,BBB,giles03
2852,George Gilham,0,1920,1921,20-21,2,4,4,0,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,,0,0,,,/H2,STL,gilhage01
2853,George Gill,0,1937,1939,28-30,85,144,135,12,17,14,2,1,0,4,0,0,1,34,.126,.132,.156,.288,-29,21,0,0,7,,0,1,DETSLB,gillge01
2854,Haddie Gill,0,1923,1923,24-24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,,/1,CIN,gillha01
2855,Carden Gillenwater,0,1940,1940,23-23,7,25,25,1,4,3,1,0,0,5,0,0,0,2,.160,.160,.200,.360,-3,5,0,0,0,,0,/78,STL,gilleca01
2856,Claral Gillenwater,0,1923,1923,23-23,5,7,6,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,1,,,/1,CHW,gillecl01
2857,Henry Gillespie,0,1925,1928,28-31,47,103,93,15,30,23,1,5,1,10,0,,6,,.323,.370,.473,.843,120,44,,1,3,,,1/978,ACHBGNLGPTG,gillehe01
2858,Murray Gillispie,0,1930,1932,22-24,26,51,49,5,10,10,0,0,0,2,0,,2,,.204,.235,.204,.439,24,10,,0,0,,,1/9,CAGMRMMRS,gillimu01
