Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB▼,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
190,Firpo Marberry,30,WSH,49,92,81,9,19,3,1,0,11,0,1,5,14,.235,.287,.296,.584,50,24,,1,5,,0,1,marbefi01
191,Cloy Mattox*,26,PHA,3,7,6,0,1,0,0,0,0,0,0,1,1,.167,.286,.167,.452,17,1,,0,0,,0,/2,mattocl01
192,Paul McCullough,30,WSH,3,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,,0,0,,0,/1,mcculpa01
193,Hal McKain*,22,CHW,34,56,44,5,10,1,0,0,1,0,0,9,8,.227,.370,.250,.620,64,11,,1,1,,0,1,mckaiha01
194,Johnny Miljus,34,CLE,34,45,43,7,11,4,1,0,5,0,1,0,12,.256,.256,.395,.651,63,17,,0,2,,0,1,miljujo01
195,Rudy Miller,28,PHA,2,7,4,1,1,0,0,0,1,0,0,3,0,.250,.571,.250,.821,115,1,,0,0,,0,/5,milleru02
196,Jim Moore,25,CLE,2,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,0,/1,mooreji01
197,Wilcy Moore,32,NYY,41,16,15,2,1,0,0,0,0,0,0,0,8,.067,.067,.067,.133,-65,1,,0,1,,0,1,moorewi01
198,Ed Morris,29,BOS,33,79,69,6,16,3,1,1,5,0,0,3,17,.232,.264,.348,.612,58,24,,0,7,,0,1,morried02
199,Bud Morse*,24,PHA,8,27,27,1,2,0,0,0,0,0,0,0,2,.074,.074,.074,.148,-62,2,,0,0,,0,/4,morsebu01
200,Glenn Myatt*,31,CLE,59,141,129,14,30,4,1,1,17,0,1,7,5,.233,.277,.302,.580,47,39,,1,4,,0,2H,myattgl01
201,Bots Nekola*,22,NYY,9,5,4,1,2,1,0,0,1,0,0,0,1,.500,.500,.750,1.250,226,3,,0,1,,0,/1,nekolbo01
202,Jack Ogden,31,SLB,34,50,45,4,11,1,0,0,7,0,0,3,9,.244,.292,.267,.558,43,12,,0,2,,0,1,ogdenja01
203,Ossie Orwoll*,28,PHA,30,53,51,6,13,2,1,0,6,0,0,2,11,.255,.283,.333,.616,56,17,,0,0,,0,1H/87,orwolos01
204,Phil Page,23,DET,10,8,8,0,1,0,0,0,1,0,0,0,0,.125,.125,.125,.250,-35,1,,0,0,,0,1,pageph01
205,Herb Pennock#,35,NYY,27,61,51,4,9,0,0,0,1,0,0,4,6,.176,.236,.176,.413,11,9,,0,6,,0,1,pennohe01
206,Cy Perkins,33,PHA,38,84,76,4,16,4,0,0,9,0,0,5,4,.211,.259,.263,.522,33,20,,0,3,,1,2/H,perkicy01
207,Eddie Phillips,28,DET,68,250,221,24,52,13,1,2,21,0,1,20,16,.235,.302,.330,.632,63,73,,1,7,,0,2/H,philled01
208,George Pipgras,29,NYY,39,93,84,6,12,2,0,0,5,0,0,5,19,.143,.191,.167,.358,-5,14,,0,4,,0,1,pipgrge01
209,Augie Prudhomme,26,DET,34,24,21,2,5,2,0,0,0,0,0,3,8,.238,.333,.333,.667,72,7,,0,0,,0,1,prudhau01
210,Jack Quinn,45,PHA,35,64,60,2,8,2,0,0,3,0,0,0,20,.133,.133,.167,.300,-24,10,,0,4,,0,1,quinnja01
211,Gordon Rhodes,21,NYY,10,14,10,0,3,0,0,0,0,0,0,1,5,.300,.364,.300,.664,77,3,,0,3,,0,1,rhodego01
212,Ed Roetz,23,SLB,16,52,45,7,11,4,1,0,5,0,0,4,6,.244,.306,.378,.684,73,17,,0,2,,0,/6345,roetzed01
213,Eddie Rommel,31,PHA,32,45,39,2,8,1,0,0,4,0,0,2,7,.205,.244,.231,.475,21,9,,0,4,,0,1,rommeed01
214,Muddy Ruel,33,WSH,69,225,188,16,46,4,2,0,20,0,5,31,7,.245,.352,.287,.639,66,54,,0,5,,4,2/H,ruelmu01
215,Red Ruffing,24,BOS,60,121,114,9,35,9,0,2,17,0,0,2,13,.307,.325,.439,.763,97,50,,1,3,,0,1H/7,ruffire01
216,Jack Russell,23,BOS,37,80,70,5,9,0,0,0,2,0,0,5,22,.129,.187,.129,.315,-16,9,,0,5,,0,1/H,russeja01
