,,Negro League Stats,,,,,,,,,,,,,Updated Career Totals,,,,,,,,,,,,,-additional
Name,Span,WAR,PA,HR,BA,OBP,SLG,OPS+,IP,W,L,SO,ERA,ERA+,WAR,PA,HR,BA,OBP,SLG,OPS+,IP,W,L,SO,ERA,ERA+,-9999
Roy Campanella,1937-1945,6.0,840,17,.322,.385,.486,140,15.1,1,0,16,5.28,79,41.6,5656,259,.283,.364,.498,126,15.1,1,0,16,5.28,79,camparo01
Ray Brown,1931-1945,39.1,1391,25,.269,.333,.422,103,1468.1,121,45,688,3.06,147,39.1,1391,25,.269,.333,.422,103,1468.1,121,45,688,3.06,147,brownra99
Josh Gibson,1930-1946,38.4,2511,165,.374,.458,.720,214,1.2,0,0,0,21.60,28,38.4,2511,165,.374,.458,.720,214,1.2,0,0,0,21.60,28,gibsojo99
Mule Suttles,1924-1944,36.8,3649,179,.340,.410,.619,172,16.0,0,0,6,6.75,77,36.8,3649,179,.340,.410,.619,172,16.0,0,0,6,6.75,77,suttlmu99
Cool Papa Bell,1922-1946,35.3,5405,57,.325,.394,.446,126,309.2,20,15,146,4.53,98,35.3,5405,57,.325,.394,.446,126,309.2,20,15,146,4.53,98,bellco99
Jud Wilson,1923-1945,34.4,3556,77,.352,.436,.527,155,,,,,,,34.4,3556,77,.352,.436,.527,155,,,,,,,wilsoju99
Monte Irvin,1938-1948,10.8,1132,38,.335,.406,.528,158,,,,,,,32.1,4026,137,.305,.390,.490,134,,,,,,,irvinmo01
Buck Leonard,1935-1948,28.4,2556,95,.345,.452,.590,180,,,,,,,28.4,2556,95,.345,.452,.590,180,,,,,,,leonabu99
Andy Cooper,1920-1939,26.0,654,3,.181,.217,.241,24,1603.1,118,64,719,3.58,122,26.0,654,3,.181,.217,.241,24,1603.1,118,64,719,3.58,122,coopean99
Cristóbal Torriente,1920-1932,26.0,2647,55,.340,.427,.523,158,179.2,13,7,60,4.46,91,26.0,2647,55,.340,.427,.523,158,179.2,13,7,60,4.46,91,torricr99
Biz Mackey,1920-1947,25.7,3474,52,.328,.390,.469,132,20.1,0,4,16,7.52,55,25.7,3474,52,.328,.390,.469,132,20.1,0,4,16,7.52,55,mackebi99
Hilton Smith,1932-1948,23.4,536,6,.291,.316,.402,108,921.0,70,39,575,2.89,142,23.4,536,6,.291,.316,.402,108,921.0,70,39,575,2.89,142,smithhi99
Martín Dihigo,1923-1945,22.7,1640,68,.307,.389,.528,138,402.0,27,19,246,3.34,141,22.7,1640,68,.307,.389,.528,138,402.0,27,19,246,3.34,141,dihigma99
Ben Taylor,1920-1929,18.8,2630,26,.337,.398,.461,133,36.0,2,1,12,2.00,192,18.8,2630,26,.337,.398,.461,133,36.0,2,1,12,2.00,192,taylobe99
Leon Day,1934-1946,18.3,653,6,.314,.362,.428,119,609.0,50,21,423,3.47,133,18.3,653,6,.314,.362,.428,119,609.0,50,21,423,3.47,133,dayle99
Willard Brown,1937-1948,18.7,1698,52,.358,.405,.591,185,,,,,,,18.1,1765,53,.350,.396,.578,178,,,,,,,brownwi02
John Henry Lloyd,1921-1929,14.1,1828,16,.349,.400,.465,131,,,,,,,14.1,1828,16,.349,.400,.465,131,,,,,,,lloydjo99
Judy Johnson,1923-1936,13.9,2934,25,.304,.350,.419,104,4.1,0,0,3,2.08,225,13.9,2934,25,.304,.350,.419,104,4.1,0,0,3,2.08,225,johnsju99
José Mendéz,1920-1926,7.1,757,3,.232,.330,.313,81,320.0,30,9,139,3.46,125,7.1,757,3,.232,.330,.313,81,320.0,30,9,139,3.46,125,mendejo99
Joe Williams,1923-1932,6.6,172,2,.226,.281,.310,57,356.1,16,19,201,3.51,130,6.6,172,2,.226,.281,.310,57,356.1,16,19,201,3.51,130,willijo99
Ray Dandridge,1933-1944,5.1,1000,4,.319,.360,.433,110,,,,,,,5.1,1000,4,.319,.360,.433,110,,,,,,,dandrra99
Pete Hill,1920-1925,4.2,612,7,.303,.410,.419,134,0.1,0,0,0,0.00,,4.2,612,7,.303,.410,.419,134,0.1,0,0,0,0.00,,hillpe99
Louis Santop,1923-1926,2.5,384,7,.317,.363,.451,126,,,,,,,2.5,384,7,.317,.363,.451,126,,,,,,,santolo99
Buck O'Neil,1937-1948,1.9,1446,12,.260,.321,.365,100,3.2,0,0,2,4.91,100,1.9,1446,12,.260,.321,.365,100,3.2,0,0,2,4.91,100,oneilbu01
