Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB▼,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
181,Syl Johnson,28,STL,42,64,60,4,7,2,1,1,5,0,0,1,23,.117,.131,.233,.364,-13,14,,0,3,,0,1,johnssy01
182,Percy Jones,29,BSN,36,67,61,4,9,1,0,0,3,0,0,2,16,.148,.175,.164,.339,-14,10,,0,4,,0,1/H,jonespe01
183,Bubber Jonnard,31,STL,18,33,31,1,3,0,0,0,2,0,0,0,6,.097,.097,.097,.194,-52,3,,0,2,,0,2/H,jonnabu01
184,Claude Jonnard,31,CHC,12,10,10,1,2,1,1,0,2,0,0,0,5,.200,.200,.500,.700,67,5,,0,0,,0,1,jonnacl01
185,Buck Jordan*,22,NYG,2,2,2,1,1,1,0,0,0,0,0,0,0,.500,.500,1.000,1.500,262,2,,0,0,,0,/3H,jordabu01
186,Ralph Judd*,27,NYG,18,14,14,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,,0,0,,0,1,juddra01
187,Dutch Kemner,30,CIN,9,4,4,0,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,27,1,,0,0,,0,/1,kemnedu01
188,Ray Kolp,34,CIN,30,53,49,5,8,3,0,0,7,0,0,0,8,.163,.163,.224,.388,-3,11,,0,4,,0,1,kolpra01
189,Lou Koupal,30,TOT,33,48,46,2,5,0,1,0,0,0,0,0,7,.109,.109,.152,.261,-37,7,,0,2,,0,1,koupalo01
190,Ray Kremer,34,PIT,34,94,86,4,11,4,0,1,8,0,0,7,26,.128,.194,.209,.403,-1,18,,0,1,,0,1,kremera01
191,Walt Lerian,26,PHI,105,333,273,28,61,13,2,6,25,0,1,53,37,.223,.354,.352,.705,71,96,,2,5,,5,*2/H,leriawa01
192,Sam Leslie*,23,NYG,1,2,1,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,.000,-100,0,,0,1,,0,/7H,leslisa01
193,Gorham Leverett,35,BSN,24,35,32,3,6,1,0,0,2,0,0,2,10,.188,.235,.219,.454,16,7,,0,0,,0,1,leverdi01
194,Jim Lindsey,30,STL,2,6,5,0,1,0,0,0,0,0,0,0,0,.200,.200,.200,.400,-2,1,,0,0,,0,/1,lindsji01
195,Bob Linton*,27,PIT,17,19,18,0,2,0,0,0,1,0,0,1,2,.111,.158,.111,.269,-33,2,,0,0,,0,H/2,lintobo01
196,Ray Lucas,20,NYG,3,2,2,1,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,149,1,,0,0,,0,/1,lucasra01
197,Dolf Luque,38,CIN,32,63,54,10,15,0,0,1,8,0,0,4,5,.278,.339,.333,.672,71,18,,1,4,,0,1,luquedo01
198,Terry Lyons,20,PHI,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,/3,lyonste02
199,Pat Malone*,26,CHC,40,109,105,8,22,3,0,2,11,0,0,4,23,.210,.239,.295,.534,31,31,,0,0,,0,1,malonpa02
200,Doc Marshall,23,NYG,5,17,15,6,6,2,0,0,2,0,0,1,0,.400,.438,.533,.971,139,8,,0,1,,0,/4H,marshdo02
201,Jakie May,33,CIN,41,67,64,5,13,3,0,0,4,0,0,0,13,.203,.203,.250,.453,14,16,,0,3,,0,1,mayja01
202,Carl Mays*,37,NYG,37,41,34,3,12,1,0,0,5,0,0,5,2,.353,.436,.382,.818,105,13,,0,2,,0,1,maysca01
203,Bob McGraw,34,PHI,41,23,20,2,4,0,1,0,1,0,0,1,4,.200,.238,.300,.538,29,6,,0,1,,0,1,mcgrabo01
204,Hugh McMullen#,27,CIN,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,0,/2,mcmulhu01
205,Doug McWeeny,32,BRO,36,57,48,3,5,0,0,0,1,0,0,6,17,.104,.204,.104,.308,-21,5,,0,3,,0,1,mcweedo01
206,Lee Meadows*,34,PIT,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,,0,0,,0,/1,meadole01
