Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB▼,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
266,Felipe Sierra,27,CSW,NNL,37,156,138,15,36,6,1,0,22,2,,15,,.261,.333,.319,.652,71,44,,0,3,,,63,sierrfe01
267,Charlie Spearman#,37,NLG,ANL,44,149,123,17,37,6,1,3,27,2,,15,,.301,.386,.439,.825,100,54,,2,9,,,2,spearch01
268,Joe Stripp,26,CIN,NL,64,218,187,24,40,3,2,3,20,2,3,24,15,.214,.313,.299,.613,56,56,,3,4,,1,5/H4,stripjo01
269,Bennie Tate*,27,WSH,AL,81,289,265,26,78,12,3,0,30,2,6,16,8,.294,.335,.362,.697,79,96,,0,8,,1,2/H,tatebe01
270,Dave Thomas*,24,BBB,NNL,80,324,283,46,76,13,5,6,42,2,,26,,.269,.332,.413,.746,93,117,,1,14,,,37/981,thomada03
271,Cool Turner,27,HG,ANL,45,169,149,20,41,5,3,1,18,2,,18,,.275,.353,.369,.722,76,55,,0,2,,,5/64,turneco01
272,Charles Wesley,32,TOT,NNL,34,104,98,8,20,0,2,0,7,2,,3,,.204,.228,.245,.473,23,24,,0,3,,,4/6539,weslech01
273,John Williams?,24,SLS,NNL,59,173,160,20,39,7,5,1,15,2,,9,,.244,.284,.369,.653,69,59,,0,4,,,17/92,willijo04
274,Nip Winters*,30,TOT,ANL,49,158,141,17,39,7,3,0,24,2,,13,,.277,.338,.369,.706,72,52,,0,4,,,31,winteni01
275,Grady Adkins,32,CHW,AL,37,52,46,6,11,3,2,0,1,1,0,4,10,.239,.300,.391,.691,78,18,,0,1,,0,1/H,adkingr01
276,Red Badgro*,26,SLB,AL,54,168,148,27,42,12,0,1,18,1,0,11,15,.284,.342,.385,.727,84,57,,2,7,,0,9H,badgrre01
277,Red Barnes*,25,WSH,AL,72,143,130,16,26,5,2,1,15,1,0,13,12,.200,.273,.292,.565,45,38,,0,0,,0,H8/79,barnere01
278,Bernardo Baró*,33,CSE,ANL,47,191,171,15,48,7,1,0,18,1,,14,,.281,.339,.333,.672,64,57,,1,5,,,9/7,barobe01
279,Jute Bell,29,BBB,NNL,23,71,66,6,12,1,0,0,5,1,,2,,.182,.206,.197,.403,6,13,,0,3,,,1/79,bellju02
