Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB▼,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
129,Leonard Nash?,--,CAG,1,2,1,0,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,1,,,/7,nashle01
130,Omer Newsome,29,MRS,4,6,6,2,3,0,0,0,0,0,,0,,.500,.500,.500,1.000,161,3,,0,0,,,/1,newsoom01
131,Johnnie Oden,26,TOT,37,143,132,14,30,1,0,2,13,0,,8,,.227,.271,.280,.552,44,37,,0,3,,,5/4,odenjo01
132,Satchel Paige,22,BBB,34,105,98,8,16,1,1,1,6,0,,2,,.163,.180,.224,.404,5,22,,0,5,,,1/97,paigesa01
133,Willie Parker?,--,MRS,1,1,1,1,1,1,0,0,0,0,,0,,1.000,1.000,2.000,3.000,663,2,,0,0,,,/7,parkewi01
134,L. Peña?,--,CSW,38,124,115,12,29,3,1,1,11,0,,3,,.252,.271,.322,.593,54,37,,0,6,,,32/5,penal01
135,Verne Perkins,--,BBB,1,4,3,1,1,0,0,0,0,0,,1,,.333,.500,.333,.833,121,1,,0,0,,,/5,perkive01
136,Robert Poindexter,31,TOT,10,18,15,1,2,0,0,0,0,0,,1,,.133,.188,.133,.321,-15,2,,0,2,,,/1,poindro01
137,Alex Radcliff,23,CAG,1,4,2,0,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,2,,,/6,radclal01
138,Ted Shaw,23,DS,21,63,59,4,14,1,0,0,4,0,,2,,.237,.262,.254,.517,35,15,,0,2,,,1,shawte01
139,N. Stevens?,--,DS,26,100,88,10,28,4,1,1,16,0,,9,,.318,.381,.420,.802,109,37,,0,3,,,2,steven01
140,Candy Jim Taylor,45,SLS,4,8,8,0,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,0,,,/15,tayloca02
141,L. Thomas?,--,BBB,9,28,25,1,2,0,0,0,0,0,,2,,.080,.148,.080,.228,-39,2,,0,1,,,/27,thomal04
142,Ted Trent,25,SLS,27,60,55,4,4,1,1,0,1,0,,1,,.073,.089,.127,.217,-44,7,,0,4,,,1,trentte01
143,Steel Arm Tyler?,23,DS,18,35,33,1,5,0,0,1,1,0,,0,,.152,.152,.242,.394,1,8,,0,2,,,1/9,tylerst01
144,Johnnie Vivens?,33,SLS,1,3,2,0,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,1,,,/1,vivenjo01
145,Hubert Wilson?,26,KCM,11,25,21,6,4,2,0,0,3,0,,1,,.190,.227,.286,.513,33,6,,0,3,,,1,wilsohu01
146,Willie Wyatt?,--,DS,1,2,2,0,0,0,0,0,0,0,,0,,.000,.000,.000,.000,-100,0,,0,0,,,/2,wyattwi01
