"","Player","doubles","triples","home_runs","singles"
"103","León Kellman",0.0309278350515464,0.0103092783505155,0.00515463917525773,0.185567010309278
"104","Jesse Douglas",0.0353260869565217,0.0190217391304348,0.00271739130434783,0.214673913043478
"105","Luis Márquez",0.0469011725293132,0.00837520938023451,0.0150753768844221,0.21105527638191
"106","Bob Harvey",0.0425776754890679,0.0126582278481013,0.0103567318757192,0.216340621403913
"107","Henry Turner",0.0382165605095541,0.0254777070063694,0.00318471337579618,0.187898089171975
"108","Sammy Hughes",0.0485053581500282,0.0152284263959391,0.011844331641286,0.195713479977439
"109","Fred Boyd",0.0540540540540541,0.0225225225225225,0.00900900900900901,0.211711711711712
"110","Henry McCall",0.0485436893203883,0.0145631067961165,0.00970873786407767,0.237864077669903
"111","Pythias Russ",0.0515873015873016,0.0206349206349206,0.0111111111111111,0.214285714285714
"112","Dan Kennard",0.0585774058577406,0.0153417015341702,0.0181311018131102,0.170153417015342
"113","Pat Scantlebury",0.0368663594470046,0.032258064516129,0.00460829493087558,0.207373271889401
"114","Felix McLaurin",0.0266666666666667,0.0183333333333333,0.00833333333333333,0.215
"115","Valentín Dreke",0.0409244102070294,0.0115551275878671,0.00722195474241695,0.238324506499759
"116","Orville Singer",0.0409090909090909,0.0136363636363636,0.00909090909090909,0.239772727272727
"117","Tommie Dukes",0.0463242698892246,0.0161127895266868,0.013091641490433,0.201409869083585
"118","Robert Mitchell",0.0333333333333333,0.0166666666666667,0.0166666666666667,0.175
"119","Alejandro Crespo",0.0311111111111111,0.0222222222222222,0.0177777777777778,0.226666666666667
"120","Jesse Barber",0.0380952380952381,0.019047619047619,0.0380952380952381,0.142857142857143
"121","Henry Gillespie",0.00970873786407767,0.0485436893203883,0.00970873786407767,0.223300970873786
"122","Jesse Hubbard",0.0414634146341463,0.0195121951219512,0.0219512195121951,0.171951219512195
"123","Jabbo Andrews",0.0387972841901067,0.0193986420950533,0.0193986420950533,0.192046556741028
